Transaction Number,Date,Description,Memo,Category,Transaction Amount,Balance,Type
31643,24/01/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,837839.27,Recurring
31646,25/01/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,835534.06,Recurring
31645,25/01/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,819183.74,Recurring
31648,26/01/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,816617.37,Recurring
31649,27/01/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,-15020.32,801597.05,Occasional
31633,28/01/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-64.85,801532.20,Occasional
31647,30/01/2017,DEBIT PURCHASE,Metal Man Live,Entertainment,-25006.35,776525.85,Occasional
31652,01/02/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,671463.50,Recurring
31653,02/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,661406.63,Recurring
31683,03/02/2017,DEBIT PURCHASE,"Fletwood Mac, Private Show",Entertainment,-25006.35,636400.28,Occasional
31656,03/02/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,633553.41,Recurring
31658,04/02/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,615190.54,Recurring
31660,05/02/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,612036.89,Recurring
31659,05/02/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-16856.88,595180.01,Recurring
101524,05/02/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,3495.32,598675.33,Recurring
31661,06/02/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-7256.96,591418.37,Recurring
31663,07/02/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,590066.35,Recurring
31662,07/02/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,579740.72,Recurring
101562,07/02/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,649740.72,Recurring
31664,09/02/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,639240.20,Recurring
31665,12/02/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,631177.32,Recurring
31678,13/02/2017,DEBIT PURCHASE,De Kas,Food & Dining,-180.54,630996.78,Occasional
31667,13/02/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,630993.53,Occasional
31669,14/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,624493.53,Recurring
31654,14/02/2017,DEBIT PURCHASE,Self Driving Unicycle,Shopping,-15654.54,608838.99,Occasional
31670,15/02/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,578812.64,Recurring
31666,15/02/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,578409.64,Occasional
31673,16/02/2017,DEBIT PURCHASE,Barbie Cafe,Food & Dining,-321.54,578088.10,Occasional
31671,16/02/2017,DEBIT PURCHASE,World Toe Wrestling Championships,Entertainment,-1289.11,576798.99,Occasional
101590,16/02/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,626798.99,Recurring
31672,18/02/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,626396.49,Occasional
31675,21/02/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,625498.17,Recurring
31674,21/02/2017,DEBIT PURCHASE,4 dimensional wallet,Clothing & Personal,-10358.97,615139.20,Occasional
31668,21/02/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-21.95,615117.25,Occasional
31676,22/02/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,602751.30,Recurring
31677,23/02/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,597389.98,Recurring
31680,24/02/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,588730.50,Recurring
31679,24/02/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,586223.51,Recurring
31655,24/02/2017,DEBIT PURCHASE,Psychotherapy Sessions - 12 pack,Pets,-3600.00,582623.51,Occasional
31682,25/02/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,580318.30,Recurring
31681,25/02/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,563967.98,Recurring
31685,26/02/2017,DEBIT PURCHASE,Solar Powered Running Shoes,Health & Fitness,-2365.52,561602.46,Occasional
31684,26/02/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,559036.09,Recurring
31657,28/02/2017,DEBIT PURCHASE,Fife & Drum,Food & Dining,-1365.00,557671.09,Occasional
31687,01/03/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,452608.74,Recurring
31688,02/03/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,442551.87,Recurring
31691,03/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,439705.00,Recurring
31693,04/03/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,421342.13,Recurring
31695,05/03/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,418188.48,Recurring
31694,05/03/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-15874.02,402314.46,Recurring
101525,05/03/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,12375.08,414689.54,Recurring
31720,06/03/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,414287.04,Occasional
31696,06/03/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,409055.39,Recurring
31719,07/03/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,-15020.32,394035.07,Occasional
31698,07/03/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,392683.05,Recurring
31697,07/03/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,382357.42,Recurring
101563,07/03/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,452357.42,Recurring
31712,08/03/2017,DEBIT PURCHASE,De Culinaire Werkplaats,Food & Dining,-2861.21,449496.21,Occasional
31699,09/03/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,438995.69,Recurring
31700,12/03/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,430932.81,Recurring
31702,13/03/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,430929.56,Occasional
31704,14/03/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,424429.56,Recurring
31701,14/03/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,424026.56,Occasional
31705,15/03/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,394000.21,Recurring
31706,16/03/2017,DEBIT PURCHASE,Underwater Music Festival,Entertainment,-21856.96,372143.25,Occasional
101591,16/03/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,422143.25,Recurring
31703,17/03/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-25.14,422118.11,Occasional
31709,21/03/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,421219.79,Recurring
31708,21/03/2017,DEBIT PURCHASE,Flame Protection Manicure,Clothing & Personal,-62.39,421157.41,Occasional
31690,21/03/2017,DEBIT PURCHASE,Pooch Pedometer,Pets,-65.02,421092.39,Occasional
31710,22/03/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,408726.44,Recurring
31711,23/03/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,403365.12,Recurring
31714,24/03/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,394705.64,Recurring
31713,24/03/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,392198.65,Recurring
31692,24/03/2017,DEBIT PURCHASE,The Yurt at Solitude,Food & Dining,-365.87,391832.78,Occasional
31716,25/03/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,389527.57,Recurring
31715,25/03/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,373177.25,Recurring
31689,25/03/2017,DEBIT PURCHASE,5d printer,Shopping,-70032.86,303144.39,Occasional
31718,26/03/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,300578.02,Recurring
31717,26/03/2017,DEBIT PURCHASE,"Deadpool 3, Private Show",Entertainment,-654.13,299923.89,Occasional
31722,01/04/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,194861.54,Recurring
31723,02/04/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,184804.67,Recurring
31724,03/04/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,181957.80,Recurring
31728,04/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,163594.93,Recurring
31730,05/04/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,160441.28,Recurring
31729,05/04/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-17325.36,143115.92,Recurring
101526,05/04/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,5715.26,148831.18,Recurring
31736,06/04/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,148428.18,Occasional
31731,06/04/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-3756.89,144671.29,Recurring
31733,07/04/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,143319.27,Recurring
31732,07/04/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,132993.64,Recurring
101564,07/04/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,202993.64,Recurring
31734,09/04/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,192493.12,Recurring
31735,12/04/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,184430.24,Recurring
31737,13/04/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,184426.99,Occasional
31739,14/04/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,177926.99,Recurring
31740,15/04/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,147900.64,Recurring
101552,15/04/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,736532.01,884432.65,Recurring
31741,16/04/2017,DEBIT PURCHASE,World Bog Snorkelling Championships,Entertainment,-7238.96,877193.69,Occasional
101592,16/04/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,927193.69,Recurring
31754,19/04/2017,DEBIT PURCHASE,Peleton Bike for two,Health & Fitness,-7508.88,919684.81,Occasional
31747,20/04/2017,DEBIT PURCHASE,Masa,Food & Dining,-997.35,918687.46,Occasional
31727,20/04/2017,DEBIT PURCHASE,Harvey Washbangers,Food & Dining,-189.89,918497.57,Occasional
31744,21/04/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,917599.25,Recurring
31743,21/04/2017,DEBIT PURCHASE,Formula 1 bow tie,Clothing & Personal,-32.55,917566.70,Occasional
31745,22/04/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,905200.75,Recurring
31725,22/04/2017,DEBIT PURCHASE,"Dance of the Mole Men, Limited Edition",Shopping,-10332.86,894867.89,Occasional
31746,23/04/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,889506.57,Recurring
31726,23/04/2017,DEBIT PURCHASE,Zero Gravity Collar,Pets,-724.12,888782.45,Occasional
31749,24/04/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,880122.97,Recurring
31748,24/04/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,877615.98,Recurring
31742,24/04/2017,DEBIT PURCHASE,Post Office Pies,Food & Dining,-95.64,877520.34,Occasional
31751,25/04/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,875215.13,Recurring
31750,25/04/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,858864.81,Recurring
31755,26/04/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,858462.31,Occasional
31753,26/04/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,855895.94,Recurring
31752,27/04/2017,DEBIT PURCHASE,"Beyonce, Private Show",Entertainment,-25006.35,830889.59,Occasional
31738,27/04/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-98.36,830791.23,Occasional
31757,01/05/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,725728.88,Recurring
31758,02/05/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,715672.01,Recurring
31763,03/05/2017,DEBIT PURCHASE,ICHIRAN,Food & Dining,-89.64,715582.37,Occasional
31759,03/05/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,712735.50,Recurring
31760,04/05/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,694372.63,Recurring
31771,05/05/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,693969.63,Occasional
31765,05/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,690815.98,Recurring
31764,05/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-26789.54,664026.44,Recurring
101527,05/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,6825.23,670851.67,Recurring
31766,06/05/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-2789.98,668061.69,Recurring
31768,07/05/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,666709.67,Recurring
31767,07/05/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,656384.04,Recurring
101565,07/05/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,726384.04,Recurring
31769,09/05/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,715883.52,Recurring
31761,10/05/2017,DEBIT PURCHASE,Renault F1 Team Collection Chess Set,Shopping,-38023.35,677860.17,Occasional
31773,12/05/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-425.65,677434.52,Occasional
31770,12/05/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,669371.64,Recurring
31772,13/05/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,669368.39,Occasional
31774,14/05/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,662868.39,Recurring
31775,15/05/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,632842.04,Recurring
31776,16/05/2017,DEBIT PURCHASE,Electric Air Guitar Lessons,Entertainment,-5238.99,627603.05,Occasional
101593,16/05/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,677603.05,Recurring
31779,21/05/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,676704.73,Recurring
31778,21/05/2017,DEBIT PURCHASE,Hair rustproofing,Clothing & Personal,-995.11,675709.62,Occasional
31777,21/05/2017,DEBIT PURCHASE,Arbies,Food & Dining,-13.62,675696.00,Occasional
31780,22/05/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,663330.05,Recurring
31790,23/05/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,662927.55,Occasional
31781,23/05/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,657566.23,Recurring
31784,24/05/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,648906.75,Recurring
31783,24/05/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,646399.76,Recurring
31782,24/05/2017,DEBIT PURCHASE,The Magic Castle,Food & Dining,-181.37,646218.39,Occasional
31787,25/05/2017,DEBIT PURCHASE,Secret Superstar Premier,Entertainment,-895.11,645323.28,Occasional
31786,25/05/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,643018.07,Recurring
31785,25/05/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,626667.75,Recurring
31788,26/05/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,624101.38,Recurring
31762,28/05/2017,DEBIT PURCHASE,Space Walk Trial Run,Pets,-12385.03,611716.35,Occasional
31792,01/06/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,506654.00,Recurring
31793,02/06/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,496597.13,Recurring
31794,03/06/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,493750.26,Recurring
31797,04/06/2017,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,-126.89,493623.37,Occasional
31795,04/06/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,475260.50,Recurring
31812,05/06/2017,DEBIT PURCHASE,Tongabezi Lodge,Food & Dining,-2367.98,472892.52,Occasional
31799,05/06/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,469738.87,Recurring
31798,05/06/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-35025.52,434713.35,Recurring
101528,05/06/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,7935.20,442648.55,Recurring
31801,06/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-6752.65,435895.90,Recurring
31803,07/06/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,434543.88,Recurring
31802,07/06/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,424218.25,Recurring
101566,07/06/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,494218.25,Recurring
31804,09/06/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,483717.73,Recurring
31805,12/06/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,475654.85,Recurring
31807,13/06/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,475651.60,Occasional
31817,14/06/2017,DEBIT PURCHASE,Rattlesnake Saloon,Food & Dining,-385.45,475266.15,Occasional
31809,14/06/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,468766.15,Recurring
31808,14/06/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-37.85,468728.30,Occasional
31810,15/06/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,438701.95,Recurring
31806,15/06/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,438298.95,Occasional
31811,16/06/2017,DEBIT PURCHASE,Finland Air Guitar World Championship,Entertainment,-2387.64,435911.31,Occasional
101594,16/06/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,485911.31,Recurring
31800,18/06/2017,DEBIT PURCHASE,Doggie Tea Party,Pets,-1021.33,484889.98,Occasional
31824,21/06/2017,DEBIT PURCHASE,Dance of the MoleMen lessons,Health & Fitness,-3205.57,481684.41,Occasional
31814,21/06/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,480786.09,Recurring
31813,21/06/2017,DEBIT PURCHASE,Metal Man designer pajamas,Clothing & Personal,-825.57,479960.52,Occasional
31815,22/06/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,467594.57,Recurring
31816,23/06/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,462233.25,Recurring
31819,24/06/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,453573.77,Recurring
31818,24/06/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,451066.78,Recurring
31821,25/06/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,448761.57,Recurring
31820,25/06/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,432411.25,Recurring
31823,26/06/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,429844.88,Recurring
31822,28/06/2017,DEBIT PURCHASE," Roger waters-, Private Show",Entertainment,-25006.35,404838.53,Occasional
31825,30/06/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,404436.03,Occasional
31827,01/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,299373.68,Recurring
31828,02/07/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,289316.81,Recurring
31829,03/07/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,286469.94,Recurring
31830,04/07/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,268107.07,Recurring
31834,05/07/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,264953.42,Recurring
31833,05/07/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-85013.32,179940.10,Recurring
31832,05/07/2017,DEBIT PURCHASE,mars 2112,Food & Dining,-521.31,179418.79,Occasional
101529,05/07/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,9045.17,188463.96,Recurring
31836,06/07/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-7156.95,181307.01,Recurring
31838,07/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,179954.99,Recurring
31837,07/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,169629.36,Recurring
101567,07/07/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,239629.36,Recurring
31839,09/07/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,229128.84,Recurring
31860,11/07/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,228726.34,Occasional
31840,12/07/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,220663.46,Recurring
